comment_id,content,like_count,topic,topic_name,sentiment_score,sentiment_label,platform
262824371952,目前我学到OSPF路由计算这块，明天应该要学IS-IS，我感觉前面接受的还好，在生成树之后慢慢的有点难受，能跟上吧，但是感觉自己操作的时候还是有点难，不知道老师可以给我一点建议嘛,19,1,品牌情感支持,0.9224249124526978,正面,bilibili
261909937505,ACL没有下集，NAT最后的NAT Server也没讲就结束了,9,0,产品功能体验,0.1525595635175705,负面,bilibili
284493194224,看评论区给人感觉某为手机一台都卖不出[doge],578,1,品牌情感支持,0.2827639281749725,负面,bilibili
282590757521,市场需要大up一个原因在于大up说谎成本高！昨天看了一个小up主（应该是收了钱，要么是供应商或友商的，因为他也经常代理一些非手机类的产品， 宣传呢也是友商的手机），把华为的信号，屏幕，续航，散热，影像通过户外实拍评价最低，比小米苹果拉的太多了。然后别人说他的测评不准确，不专业，他在那里一直疯狂删除评论和设置隐私权限，拉黑等等，而且是实时的！！！而且特别的喜欢反串——视频习惯阴阳怪气，自己在自己的视频下面搞对立，说某某某手机的粉丝魔怔极端，然后又把自己的评论删除，留下友商网友对花粉的攻击和谩骂。,126,1,品牌情感支持,0.3644658327102661,负面,bilibili
282805323953,这垃圾鸿蒙。。。真的烦啊。。。兼容软件的bug真的烦。。。大清早建个会议不成功，恶心死了。安卓能看到实时会议，就鸿蒙看不到。。降低工作效率[辣眼睛]。。。Teams会议,18,1,品牌情感支持,0.0273462608456611,负面,bilibili
282572390369,开发者前来报到，做了一款休闲策略单机游戏【孤山远征】原生鸿蒙适配，助力鸿蒙生态搭建，欢迎试玩体验，感谢UP主,71,3,技术问题讨论,0.7805643081665039,正面,bilibili
284858139616,性能只字不提，评测了啥,3,3,技术问题讨论,0.208852618932724,负面,bilibili
284456019696,"“70air”这年头还有塑料框，那个曲面屏就是垃圾，不喜欢[傲娇]
“80系列”怎么回事出直屏和金属机身，不行不喜欢[傲娇][傲娇]",323,2,品牌竞争对比,0.0929872393608093,负面,bilibili
282883824257,别的都挺好  就是前置3个 看着难受[笑哭],3,1,品牌情感支持,0.9264830350875854,正面,bilibili
284519958128,看看时政吧 就这几年 中美日干起来你只能用华为[滑稽],12,1,品牌情感支持,0.6233242750167847,中性,bilibili
282553081361,那我没钱，小艺能帮我买吗？[doge]，直接从余总账上扣[doge],93,1,品牌情感支持,0.2035853415727615,负面,bilibili
272503737761,热知识：你们喷华为的言论也是通过华为的基站发送出去的[笑哭],1259,1,品牌情感支持,0.4388611912727356,中性,bilibili
272543884481,"被美国制裁的科技企业和机构如下：
半导体（芯片）设计与制造：中芯国际、长江存储、长鑫存储、寒武纪、龙芯中科、海思（华为）等等
人工智能（AI）与算法：商汤科技、旷视科技、依图科技、科大讯飞、北京智源人工智能研究院等等
超级计算与高性能计算：中科曙光、无锡江南计算技术研究所、国家超级计算中心等等
服务器与ICT企业：浪潮信息、华为、中科可控、宁畅、中兴 等等
通信与航空航天：中国航天科技集团、中国电子科技集团、北京国科天迅等等
半导体设备与软件：北方华创、华大九天、中微公司等等
特定高校被列入“实体清单”：如“国防七子”（北京航空航天大学、西北工业大学、哈尔滨工业大学、哈尔滨工程大学、北京理工大学、南京理工大学、南京航空航天大学）等",620,1,品牌情感支持,0.5596689581871033,中性,bilibili
273530165856,华为被老美制裁的几年本应该是其他几家厂商弯道超车的好机会，没成想给机会不中用啊[笑哭][笑哭][笑哭],509,1,品牌情感支持,0.1851120144128799,负面,bilibili
272262779633,下期可以讲一下大疆吗，跟华为很像，做到了世界第一，谢谢🙏,610,0,产品功能体验,0.960589587688446,正面,bilibili
273586135920,看完之后我对华为还是挺敬佩的，虽然很多人嘲讽华为手机华为汽车，但是不可否认华为是能代表中国形象的民营企业,923,1,品牌情感支持,0.987588346004486,正面,bilibili
272255598577,两岸猿声啼不住，轻舟已过万重山。,677,2,品牌竞争对比,0.9506568312644958,正面,bilibili
273537010736,我感觉有点被逼的感觉，要不是牢美，估计不会跟国家绑定得这么深[doge],410,3,技术问题讨论,0.565298318862915,中性,bilibili
273687816400,很多人不理解为什么要支持华为，早在2020年@三个老爸实验室2号机 就发过一个视频解释了其中的利害关系：华为可以倒，但不能是被外国政府打压下倒了。因为后续引起的一系列连锁反应是我国承受不住的，其中最直观的一点就是人才流失。所以我们不能让它在美国制裁的情况倒下,578,2,品牌竞争对比,0.870070219039917,正面,bilibili
272416232513,华为被漂亮国制裁一天，华为有的，我优先考虑华为。,440,1,品牌情感支持,0.6974329948425293,中性,bilibili
284954279680,"有些弹幕真是离谱：
“软件少了点功能而已，这些功能我全都不用！”
“你都用卓易通了还怪续航不好？”
“鸿蒙系统没问题，是这个APP没适配的问题！”
咋滴？你们代表华为用户有自适应性啊？有用到的再下个卓易通版是不是麻烦，是不是费电？
系统进步很多，要修补的地方也不少，UP整理了发出来才是公正的体验视频吧！
该表扬的拍照、屏幕素质、系统流畅度一样没落下~
某些魔怔人收收味吧...",34,1,品牌情感支持,0.4902032613754272,中性,bilibili
283000350897,这个弹幕笑死我了真的，问题一点讲不了，全是水军洗地的。“这些功能我都不影响啊，是你人有问题吧”balabala的,3,1,品牌情感支持,0.0287157278507947,负面,bilibili
284941565872,"pm机主在此，up说的挺客观了，优缺点都说了[doge_金箍]我再来分享几个点
1.软件还有些小功能正在适配，但普通用户的需求是够的，我上周出差准备的备用机都没用上[笑哭]
2.这手机因为采用了全金属机身，散热很快。而且冬天长时间不用就像个冰坨子，如果洗完澡没注意躺在它的金属后壳上，那叫一个刺激[笑哭]
3.另外一个就是现在的鸿蒙有礼活动真的很香，我日日新红包签到13天领了170了，以及一年b站大会员，还有腾讯视频会员以及其他乱七八糟的会员权益，我全都挂网上卖了，又回了150的血，额外的打车券、加油券、外卖券就不说了，所以这台手机相当于只花了我7000[doge_金箍]",78,1,品牌情感支持,0.707636833190918,正面,bilibili
283013997457,大部分时间用着没有问题，但在一些意想不到的地方用不了，或有问题，你就会很难受,8,3,技术问题讨论,0.4132033884525299,中性,bilibili
284947726608,我mate80也用了四五天了，大家平时用的主流app，适配度基本上能达到85%左右除非极端使用基本上够大家用的但还是有些bug，比如微信打语音电话的时候没办法点击扬声器播放，只能从状态栏里点击扬声器播放还有就是讯飞输入法，粘贴时没办法粘贴只能从长按粘贴，还有小众app完全不行适配度差不多65%左右有时候还会卡顿，还有一些app消息通知就没有，有的通知了没有提示音，希望华为赶紧解决这些问题，说完系统上的缺点，再来说优点，那真的是太丝滑爽快了，举个简单的例子就拿安卓手机来说，你点一个app，你点进去，首先看三秒钟的开屏广告，然后再一级一级的点进去，随着你点击的内容越多，它就会加载响应时间就会变慢，但华为系统却不这样，你点进去会发现非常非常跟手，非常非常顺滑加载响应时间非常快，感觉鸿蒙系统同时拥有安卓和苹果系统的优点，又同时没有安卓系统的缺点。只能希望华为鸿蒙系统越做越好,21,1,品牌情感支持,0.8524464964866638,正面,bilibili
284946872512,的确，升级6.0或者换新机一定一定要了解自己的需求，我也是下决心升级了以后发现还是挺好用的，已经作主力机2个月了，一切正常，不过我还是不会推荐别人升级，毕竟别人的需求和我不一样,9,1,品牌情感支持,0.984914004802704,正面,bilibili
282993415633,拉完了的pc，但夯的平板,174,2,品牌竞争对比,0.8064959049224854,正面,bilibili
284925459072,原生鸿蒙适配，我们的休闲单机游戏【气球英雄大冒险】上架鸿蒙AppGallery了，助力鸿蒙生态搭建，欢迎试玩体验，感谢UP主：）。,29,3,技术问题讨论,0.9445585012435912,正面,bilibili
283012359025,华为当务之急是别做什么b鼎桥智选手机了，电脑整个智选matebook x pro不比那莫名其妙的山寨机强多了,14,3,技术问题讨论,0.9708003401756288,正面,bilibili
283003577153,"[doge]百分之1的人发出了百分之99的声量
买的人不看测评  看测评的人不买
毕竟稍微懂点手机的人 也不会说为了打游戏去买华为
对于三四十岁的人来说 手机的信号，稳定性，别动不动微信卡死 微信收不到消息 才是最重要的。",19,1,品牌情感支持,0.1041117012500763,负面,bilibili
282997722625,"鸿蒙PC大平板是吧？MateBook Pro起售价太高是吧？那我直接给你出个便宜不少的旗舰平板哈哈哈。
方向对了属于是。要不是已经买了更大的，这个14寸平板是真心动。",52,3,技术问题讨论,0.6968244314193726,中性,bilibili
282976887585,你续航不行应该是好多软件用的卓易通,5,1,品牌情感支持,0.0782964304089546,负面,bilibili
284961895520,"不能。
粉丝先买[偷笑][偷笑]",3,3,技术问题讨论,0.3129585385322571,负面,bilibili
284957665664,用了一段时间了，完全替代电脑肯定不可能，但是替代轻薄本完全没问题，这次出差三天，会议、文案、剪辑都用它完成没有串流没有用到win虚拟机，单说这个场景和win电脑也差不多，目前生态不足以当成唯一电脑，但是作为多场景的补充还是不错的,51,3,技术问题讨论,0.6562573313713074,中性,bilibili
282996203985,华为做模具是真的有一手，太牛逼了，当初看到这个板子的厚度和满载功耗我就震惊了，可惜芯片和系统没办法大卖特卖，要是放以前，这个板子配个lnl，逆天了简直,21,3,技术问题讨论,0.9904831647872924,正面,bilibili
284966385200,本来科技迷是很乐意见到各种新产品出来的，不管是不是有用。可惜有些人只会用屁股行事，还喜欢泡在科技区大放厥词[喜极而泣][喜极而泣],4,0,产品功能体验,0.8164291381835938,正面,bilibili
282993598657,三日凌空纪录片[墨镜],713,1,品牌情感支持,0.9388561248779296,正面,bilibili
284940622864,看名字就知道了，本质上是一台能部分适应轻薄本办公需求的平板。从这个角度看，无论是完成度和可用性都相当不错了。,41,1,品牌情感支持,0.9937479496002196,正面,bilibili
280139952976,双十一前mate80能出来吗？我想买那个[打call],15,3,技术问题讨论,0.6781522631645203,中性,bilibili
284944505632,没被surface折磨过的不会理解的,56,2,品牌竞争对比,0.2750974595546722,负面,bilibili
